ORF	Gene_name	comparison	log2_fc_mrn	DESeq2_adj_pval
C4_06980W	PRA1	Calbicans_air_CC_12_VS_air_Ca_0	6.81453654157211	2.94811956054178e-53
C4_06980W	PRA1	Calbicans_air_CC_24_VS_air_Ca_0	5.38851699595799	1.25931191772311e-29
C4_06980W	PRA1	Calbicans_air_CC_3_VS_air_Ca_0	3.51542328355816	3.02698015280141e-8
C4_06980W	PRA1	Calbicans_air_CC_45_VS_air_Ca_0	1.67718547401887	0.0739056533672015
C4_06980W	PRA1	Calbicans_air_CC_6_VS_air_Ca_0	7.78082034028574	6.8492222861833e-59
C4_06970C	ZRT101	Calbicans_air_CC_12_VS_air_Ca_0	4.39711025533869	2.00509699639154e-18
C4_06970C	ZRT101	Calbicans_air_CC_24_VS_air_Ca_0	3.48384429936439	3.02773209122428e-10
C4_06970C	ZRT101	Calbicans_air_CC_3_VS_air_Ca_0	1.64295393832012	0.0095987169156816
C4_06970C	ZRT101	Calbicans_air_CC_45_VS_air_Ca_0	-0.0978286185496067	0.944795597146746
C4_06970C	ZRT101	Calbicans_air_CC_6_VS_air_Ca_0	5.54846656543815	4.09032131680971e-26
C2_02590W	ZRT2	Calbicans_air_CC_12_VS_air_Ca_0	1.75841404681285	0.00632970420988722
C2_02590W	ZRT2	Calbicans_air_CC_24_VS_air_Ca_0	0.285700866743945	0.723549783871343
C2_02590W	ZRT2	Calbicans_air_CC_3_VS_air_Ca_0	0.0168493601745057	0.982234759715877
C2_02590W	ZRT2	Calbicans_air_CC_45_VS_air_Ca_0	-0.636522863920145	0.376788101498223
C2_02590W	ZRT2	Calbicans_air_CC_6_VS_air_Ca_0	1.61706190021866	0.0164235095948785
C2_02180W	ZRT3	Calbicans_air_CC_12_VS_air_Ca_0	1.82263241471186	6.25204951827439e-5
C2_02180W	ZRT3	Calbicans_air_CC_24_VS_air_Ca_0	0.946316746183018	0.0256768862256188
C2_02180W	ZRT3	Calbicans_air_CC_3_VS_air_Ca_0	-1.19122749316075	0.0167394271275337
C2_02180W	ZRT3	Calbicans_air_CC_45_VS_air_Ca_0	-1.69219549915291	3.4130807253899e-4
C2_02180W	ZRT3	Calbicans_air_CC_6_VS_air_Ca_0	0.692447812143346	0.201882416566998
C2_02200W	ZRC1	Calbicans_air_CC_12_VS_air_Ca_0	0.192667115539646	0.744929466563333
C2_02200W	ZRC1	Calbicans_air_CC_24_VS_air_Ca_0	0.190517879126125	0.733334226839057
C2_02200W	ZRC1	Calbicans_air_CC_3_VS_air_Ca_0	2.00689448048511	1.4785152917667e-4
C2_02200W	ZRC1	Calbicans_air_CC_45_VS_air_Ca_0	1.09064826926722	0.0303739530993299
C2_02200W	ZRC1	Calbicans_air_CC_6_VS_air_Ca_0	1.14070493133708	0.0267897155877599
C4_04850C	ZAP1	Calbicans_air_CC_12_VS_air_Ca_0	2.74530484477369	1.08692505302898e-8
C4_04850C	ZAP1	Calbicans_air_CC_24_VS_air_Ca_0	1.56763567454819	8.3453842285006e-4
C4_04850C	ZAP1	Calbicans_air_CC_3_VS_air_Ca_0	2.20481590667987	3.97300061979965e-5
C4_04850C	ZAP1	Calbicans_air_CC_45_VS_air_Ca_0	1.90881647806383	1.7175118594535e-4
C4_04850C	ZAP1	Calbicans_air_CC_6_VS_air_Ca_0	3.05913914479895	1.1286581939526e-9
