comparison	id	log2_fc_mrn	DESeq2_adj_pval	SYMBOL
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000125740	-2.46587108205799	1.57632234257025e-14	FOSB
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000200879	2.08159040877298	2.1494510808445e-5	SNORD14E
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000122877	-1.62581493104039	0.0062155001928941	EGR2
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000009790	1.61458793192157	0.0315813080631489	TRAF3IP3
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000169429	-1.2901394512608	0.0315813080631489	CXCL8
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000279691	1.86348492786116	0.0216046042798328	ENSG00000279691
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000120738	-1.60721910740135	0.0364156776768476	EGR1
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000175592	-1.36709131489883	0.0216046042798328	FOSL1
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000109846	1.06275405383497	0.0315813080631489	CRYAB
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000225630	-0.100205725447369	0.999966688360897	MTND2P28
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000120937	-0.879378085151242	0.49068004521022	NPPB
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000073756	-0.80736954771176	0.0216046042798328	PTGS2
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000143847	-0.0449202902783567	0.999966688360897	PPFIA4
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000219159	0.429274341088511	0.999966688360897	ENSG00000219159
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000181359	-0.135294337127414	0.999966688360897	HSP90AA6P
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000213757	-0.21559152397571	0.999966688360897	RPS3AP20
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000244921	-0.215717075042446	0.999966688360897	MTCYBP18
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000273802	0.542348597384927	0.999966688360897	H2BC8
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000178381	0.142280523470973	0.999966688360897	ZFAND2A
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000240449	-0.262550641208003	0.999966688360897	ENSG00000240449
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000131174	-0.104525825811322	0.999966688360897	COX7B
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000254165	-0.0172782827407512	0.999966688360897	ENSG00000254165
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000123975	-0.126407083961567	0.999966688360897	CKS2
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000247095	-0.11196828313191	0.999966688360897	MIR210HG
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000214026	-0.594783075834655	0.999966688360897	MRPL23
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000189319	-0.19957956784302	0.999966688360897	FAM53B
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000241217	-0.173673047494281	0.999966688360897	RN7SL809P
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000120694	-0.144636013163724	0.999966688360897	HSPH1
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000080824	0.139392053147152	0.999966688360897	HSP90AA1
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000227195	1.07271779683521	0.999966688360897	MIR663AHG
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000227195	1.07271779683521	0.999966688360897	LOC124904967
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000101098	-0.214860937662366	0.999966688360897	RIMS4
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000124126	0.0587630496485076	0.999966688360897	PREX1
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000171858	-0.141250748357203	0.999966688360897	RPS21
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000198763	-0.140720267278869	0.999966688360897	ND2
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000212907	-0.0324622754773489	0.999966688360897	ND4L
Hsapiens_Ca_ece1_12h_VS_Ca_bwp17_12h	ENSG00000198727	-0.196480488981353	0.999966688360897	CYTB
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000131174	-1.02879256559481	4.7075996818188e-4	COX7B
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000123975	-1.05019580926265	3.2981246184704e-4	CKS2
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000125740	-2.2789081649079	1.23161258577597e-6	FOSB
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000198727	-1.20513857281804	0.00126272243897169	CYTB
